Name,SamAccountName,Description,CanonicalName
Estimating SCA,est.sca,,BBC.Local/BalfourBeattyUS/Civils/Western/Shared Mailboxes/Estimating SCA
Mountain Toad Conference Room,mtoad,,BBC.Local/BalfourBeattyUS/Civils/Transit/Denver CO/Shared Mailboxes/Mountain Toad Conference Room
YTTI Cave,YTTICave,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/YTTI Cave
Exchange Cluster Admin,ExchClusAdmin,CCR Cluster Administration Account,BBC.Local/Datacenter/Service Accounts/Exchange Cluster Admin
BIM Cave Calendar,PLABimCaveCalendar,,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Plantation Rooms and Resources/BIM Cave Calendar
The Think Tank,TheThinkTank,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/The Think Tank
ATL Buckhead Boardroom,ATLBuckheadBoardroom,"Seats 20-30  Projector and 119"" Screen",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL Buckhead Boardroom
ATL Castle Training Room,ATLCastleTrainingRm,"Seats 24  Projector and 119"" Screen",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL Castle Training Room
ATL East Touchdown Room,ATLEastTouchdownRM,"Seats 6  60"" Flat Panel",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL East Touchdown Room
ATL Needle Conference Room,ATLNeedleConfRm,"Seats 6  90"" Flat Panel Display",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL Needle Conference Room
ATL Tower Casual Presentation Room,ATLTowerCasualPresRM,"Seats 8  (2) 70"" Flat Displays",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL Tower Casual Presentation Room
ATL West Touchdown Room,ATLWestTouchdownRM,"Seats 5  60"" Flat Panel",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL West Touchdown Room
"SCANS, ORL",orlscans,Service account for scanners,"BBC.Local/BalfourBeattyUS/Florida/_Orlando Office/SCANS, ORL"
Training3rd,Training3rd,Presentation PC in 3rd Floor Training Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Training3rd
BBIINJ,BBIINJ,BBINJ Transition User Account,BBC.Local/BalfourBeattyUS/BB Management/Users/BBIINJ
VC New Port Beach Buildings,VCNewPortBeachBuildi,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC New Port Beach Buildings
DFW IACH TV Room,DFWIACHTVRoom,IARH Resource Room mailbox,BBC.Local/BalfourBeattyUS/DFW/_DFW Jobsites/Archived Jobsites/Fort Riley/DFW IACH TV Room
Sophos,Sophos,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/Sophos
"Agent, Washington",WASAgent,AD account for Washingtons  Backups,"BBC.Local/BalfourBeattyUS/Washington/_Fairfax/Users/Agent, Washington"
ATL Spire BIM Coordination Room,ATLSpireBimCorRm,"Seats 12  Projector and 119"" Screen (2) 70"" Flatpanels",BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL Spire BIM Coordination Room
svc-duoproxy,svc-duoproxy,Service Account for DCDUOPROXY01,BBC.Local/Datacenter/Service Accounts/svc-duoproxy
IT Service Desk,bbservicedesk,Service Account For BMC Emails generating tickets,BBC.Local/BalfourBeattyUS/DFW/DFW Groups/IT Service Desk
svc-ITSArcSight,svc-ITSArcSight,,BBC.Local/Datacenter/Service Accounts/BAE Systems/svc-ITSArcSight
